05:58:25                        Запускается сервис Монитора Установки...
05:58:26                        Версия сервиса: 0x105
05:58:26                        Запускаем 'setup.exe'...
05:58:26                        Монитор установки запущен
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Old
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Testing
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Tutorials
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Common\Window
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Icons\Edit
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Icons\PIEWindow
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\SlateDebug\Fonts
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Tutorial\SubEditors
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Tutorial\SubEditors\TutorialAssets
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\VREditor\LaserPointer
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\VREditor\TransformGizmo
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Extras\Redist
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Extras\Redist\en-us
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\2D
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\AI
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Blendables
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Editor
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Enterprise
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Media
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Messaging
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\MovieScene
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\NetcodeUnitTest
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Online
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Portal
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Runtime
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\2D\Paper2D
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\2D\Paper2D\Config
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\2D\Paper2D\Content
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\2D\Paper2D\Content\PlaceholderTextures
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\AI\AISupport
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Blendables\LightPropagationVolume
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Editor\AssetManagerEditor
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Editor\CryptoKeys
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Editor\FacialAnimation
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Editor\MeshEditor
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Enterprise\DatasmithContent
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\AlembicImporter
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\AppleImageUtils
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Plugins\Experimental\AppleVision
