00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\45\458fdf8e18cefabc0caf268a0bc3547d.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\46\46ea6d9f1a67c8a7e108ab045050730f.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\47\473c923295ee044946b3beac5411e6be.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\4a\4a186e3f5a5d9d36f2fbbe2521fe3ce6.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\4c\4c752ce85d204432a357b82d9512839e.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\4d\4d315f4132fd6ef87ed4e73d0da94e76.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\57\574ed4d0913b4a3b86760386f2a83fdb.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\5c\5c09ee8e5593fa21d079708397da7e44.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\67\67e6ee2c097cc573cee00165623c9171.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\6a\6af6f6915e1ecd804a1af118d28ef13a.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\6b\6b872a6cc169e0e7c7d9a3aff3de81a6.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\70\70a54ee6320760dfcb2c1370150da77b.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\77\770f21e352f5cdf0f334335e4772a766.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\78\788d9470c11328f638f98df2201cccd5.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\7e\7ee770a69abb833555ea84cf6ee0b3d3.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\81\810fb0f420983273d2190e003ce08503.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\84\842a19a46927e02cf674c4cd9b92a797.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\89\8946532e6af39a37c1cc5b0b6a047705.caw
